"idactivity","idchild"
510,24
3190,203
550,137
1860,262
1990,201
450,50
3190,50
510,474
3190,142
3190,29
3190,342
510,342
450,194
450,439
1860,265
510,236
1991,250
1860,270
1991,52
510,52
3190,352
510,206
1990,318
1990,276
1860,245
1860,244
3190,110
1991,443
550,241
1991,112
1991,621
450,574
450,209
1990,209
3190,8
1991,204
510,204
1990,353
450,39
1990,23
3190,367
550,367
1991,288
550,290
3190,585
1860,298
1860,299
450,329
3190,449
1991,410
3190,330
1990,330
1991,554
510,62
1860,60
550,307
1860,451
550,490
1860,490
1860,41
510,389
3190,30
3190,192
1990,192
1860,341
1860,66
1990,380
1990,124
550,437
550,45
1990,64
1991,208
3190,333
450,14
510,345
510,22
450,320
450,44
3190,456
1990,502
510,46
510,47
1991,229
450,184
1991,184
1991,238
3190,202
3190,77
510,77
510,32
3190,491
3190,317
510,317
450,322
3190,436
1991,193
1991,368
1860,433
1991,93
1991,96
550,99
1860,99
3190,509
510,55
3190,26
1860,332
510,394
3190,590
510,159
510,190
450,12
3190,36
510,395
3190,65
510,239
550,444
510,166
3190,21
3190,396
450,429
